Player,Team,Cap Number,Cash Spent
Lenzy Pipkins,Browns,"$105,294 ","$105,294 "
Ronald Zamort,Giants,"$83,600 ","$83,600 "
Christian Campbell,Saints,"$83,600 ","$83,600 "
Craig Mager,Broncos,"$82,941 ","$82,941 "
Joshua Holsey,Washington,"$77,117 ","$77,117 "
Taveze Calhoun,Falcons,"$68,400 ","$68,400 "
Robert Jackson,Browns,"$68,400 ","$68,400 "
Jeremy Boykins,Seahawks,"$68,400 ","$68,400 "
Rico Gafford,Raiders,"$66,771 ","$77,071 "
Harlan Miller,Washington,"$65,294 ","$65,294 "
Breon Borders,Jaguars,"$65,294 ","$65,294 "
Xavier Coleman,Bills,"$60,800 ","$60,800 "
Tarvarus McFadden,49ers,"$60,800 ","$60,800 "
Kenneth Durden,Titans,"$56,471 ","$56,471 "
Chris Jones,Cardinals,"$56,471 ","$56,471 "
Dee Virgin,Lions,"$56,471 ","$56,471 "
Dee Delaney,Jaguars,"$53,200 ","$53,200 "
Michael Jordan,Titans,"$53,200 ","$53,200 "
Linden Stephens,Broncos,"$45,600 ","$45,600 "
Jeremiah McKinnon,Eagles,"$45,600 ","$45,600 "
John Franklin III,Bears,"$38,000 ","$38,000 "
Treston Decoud,Cowboys,"$38,000 ","$38,000 "
Arthur Maulet,Saints,"$38,000 ","$38,000 "
Bennett Jackson,Ravens,"$38,000 ","$38,000 "
Jalen Myrick,Vikings,"$38,000 ","$38,000 "
Josh Thornton,Panthers,"$38,000 ","$38,000 "
Chris Lammons,Dolphins,"$38,000 ","$38,000 "
Josh Hawkins,Eagles,"$37,059 ","$37,059 "
Dee Delaney,Dolphins,"$30,000 ","$30,000 "
Alex Carter,Washington,"$28,235 ","$28,235 "
Horace Richardson,Broncos,"$28,235 ","$28,235 "
Andre Chachere,Lions,"$28,235 ","$28,235 "
Ashton Lampkin,Browns,"$22,800 ","$22,800 "
Donte Deayon,Rams,"$22,800 ","$22,800 "
Josh Thornton,Bills,"$22,800 ","$22,800 "
Simeon Thomas,Seahawks,"$22,800 ","$22,800 "
Jonathan Moxey,Cardinals,"$15,200 ","$15,200 "
D.J. Killings,Packers,"$15,200 ","$15,200 "
Arrion Springs,Chargers,"$15,200 ","$15,200 "
Chandon Sullivan,Eagles,"$10,000 ","$10,000 "
Michael Hunter,Texans,"$7,600 ","$7,600 "
Makinton Dorleant,Raiders,"$7,600 ","$7,600 "
Donte Deayon,Rams,$0 ,$0 
Arthur Maulet,Saints,$0 ,$0 
Josh Robinson,Saints,$0 ,$0 
Cody Brown,Jaguars,$0 ,$0 
